singular,plural,merged
zeta function,zeta functions,zeta function(s)
millimeter wave,millimeter waves,millimeter wave(s)
path length,path lengths,path length(s)
paradigm shift,paradigm shifts,paradigm shift(s)
dark matter halo,dark matter halos,dark matter halo(s)
marginal distribution,marginal distributions,marginal distribution(s)
annotation process,annotation processes,annotation process(es)
deep generative model,deep generative models,deep generative model(s)
planetary system,planetary systems,planetary system(s)
3d cnn,3d cnns,3d cnn(s)
supply chain,supply chains,supply chain(s)
imagenet dataset,imagenet datasets,imagenet dataset(s)
audio recording,audio recordings,audio recording(s)
charged black hole,charged black holes,charged black hole(s)
average degree,average degrees,average degree(s)
few layer,few layers,few layer(s)
chiral anomaly,chiral anomalies,chiral anomaly(ies)
transition matrix,transition matrices,transition matrix (matrices)
realistic setting,realistic settings,realistic setting(s)
asymptotic behaviour,asymptotic behaviours,asymptotic behaviour(s)
two party,two parties,two party(ies)
factor approximation,factor approximations,factor approximation(s)
transport equation,transport equations,transport equation(s)
normalizing flow,normalizing flows,normalizing flow(s)
repulsive interaction,repulsive interactions,repulsive interaction(s)
hot jupiter,hot jupiters,hot jupiter(s)
nonconvex optimization problem,nonconvex optimization problems,nonconvex optimization problem(s)
label space,label spaces,label space(s)
trapped ion,trapped ions,trapped ion(s)
brain activity,brain activities,brain activity(ies)
limiting distribution,limiting distributions,limiting distribution(s)
high computational efficiency,high computational efficiencies,high computational efficiency(ies)
hardware platform,hardware platforms,hardware platform(s)
critical exponent,critical exponents,critical exponent(s)
infectious disease,infectious diseases,infectious disease(s)
normal mode,normal modes,normal mode(s)
missing value,missing values,missing value(s)
analytic expression,analytic expressions,analytic expression(s)
geometric interpretation,geometric interpretations,geometric interpretation(s)
storage capacity,storage capacities,storage capacity(ies)
branching ratio,branching ratios,branching ratio(s)
semantic similarity,semantic similarities,semantic similarity(ies)
decision maker,decision makers,decision maker(s)
rgb image,rgb images,rgb image(s)
shock wave,shock waves,shock wave(s)
electric vehicle,electric vehicles,electric vehicle(s)
boolean function,boolean functions,boolean function(s)
velocity profile,velocity profiles,velocity profile(s)
point defect,point defects,point defect(s)
spectral signature,spectral signatures,spectral signature(s)
energy density functional,energy density functionals,energy density functional(s)
riemann surface,riemann surfaces,riemann surface(s)
laser beam,laser beams,laser beam(s)
decay channel,decay channels,decay channel(s)
memory footprint,memory footprints,memory footprint(s)
binding energy,binding energies,binding energy(ies)
density fluctuation,density fluctuations,density fluctuation(s)
natural disaster,natural disasters,natural disaster(s)
ct image,ct images,ct image(s)
infinite horizon,infinite horizons,infinite horizon(s)
deformation parameter,deformation parameters,deformation parameter(s)
conceptual framework,conceptual frameworks,conceptual framework(s)
universal constant,universal constants,universal constant(s)
attention block,attention blocks,attention block(s)
stationary point,stationary points,stationary point(s)
greatly reduce,greatly reduces,greatly reduce(s)
momentum transfer,momentum transfers,momentum transfer(s)
long lifetime,long lifetimes,long lifetime(s)
magnetic field strength,magnetic field strengths,magnetic field strength(s)
probability distribution function,probability distribution functions,probability distribution function(s)
auto encoder,auto encoders,auto encoder(s)
chromatic number,chromatic numbers,chromatic number(s)
vibrational mode,vibrational modes,vibrational mode(s)
operating condition,operating conditions,operating condition(s)
spacetime dimension,spacetime dimensions,spacetime dimension(s)
direct product,direct products,direct product(s)
simple modification,simple modifications,simple modification(s)
greedy algorithm,greedy algorithms,greedy algorithm(s)
surface code,surface codes,surface code(s)
resonance frequency,resonance frequencies,resonance frequency(ies)
gnn model,gnn models,gnn model(s)
chemical abundance,chemical abundances,chemical abundance(s)
edge mode,edge modes,edge mode(s)
unconventional superconductor,unconventional superconductors,unconventional superconductor(s)
primordial black hole,primordial black holes,primordial black hole(s)
computational overhead,computational overheads,computational overhead(s)
brain mri,brain mris,brain mri(s)
inner region,inner regions,inner region(s)
optical fiber,optical fibers,optical fiber(s)
critical infrastructure,critical infrastructures,critical infrastructure(s)
l2 norm,l2 norms,l2 norm(s)
line graph,line graphs,line graph(s)
control law,control laws,control law(s)
derived category,derived categories,derived category(ies)
domain expert,domain experts,domain expert(s)
conserved charge,conserved charges,conserved charge(s)
flow pattern,flow patterns,flow pattern(s)
laser pulse,laser pulses,laser pulse(s)
convergence speed,convergence speeds,convergence speed(s)
convex hull,convex hulls,convex hull(s)
signal strength,signal strengths,signal strength(s)
form expression,form expressions,form expression(s)
activation function,activation functions,activation function(s)
exact diagonalization,exact diagonalizations,exact diagonalization(s)
asr system,asr systems,asr system(s)
resource theory,resource theories,resource theory(ies)
scaling relation,scaling relations,scaling relation(s)
risk factor,risk factors,risk factor(s)
self driving car,self driving cars,self driving car(s)
bandit problem,bandit problems,bandit problem(s)
spectral decomposition,spectral decompositions,spectral decomposition(s)
production cross section,production cross sections,production cross section(s)
fully convolutional neural network,fully convolutional neural networks,fully convolutional neural network(s)
detector array,detector arrays,detector array(s)
curved spacetime,curved spacetimes,curved spacetime(s)
angular velocity,angular velocities,angular velocity(ies)
absorption line,absorption lines,absorption line(s)
cluster size,cluster sizes,cluster size(s)
detector technology,detector technologies,detector technology(ies)
infty category,infty categories,infty category(ies)
algebraic curve,algebraic curves,algebraic curve(s)
rotational symmetry,rotational symmetries,rotational symmetry(ies)
secure communication,secure communications,secure communication(s)
social science,social sciences,social science(s)
mild solution,mild solutions,mild solution(s)
standard deviation,standard deviations,standard deviation(s)
online survey,online surveys,online survey(s)
reynolds number,reynolds numbers,reynolds number(s)
liquid interface,liquid interfaces,liquid interface(s)
space mission,space missions,space mission(s)
existing state space,existing state spaces,existing state space(s)
time span,time spans,time span(s)
spanning tree,spanning trees,spanning tree(s)
high angular resolution,high angular resolutions,high angular resolution(s)
cold atom,cold atoms,cold atom(s)
positive correlation,positive correlations,positive correlation(s)
sloan digital sky survey,sloan digital sky surveys,sloan digital sky survey(s)
communication overhead,communication overheads,communication overhead(s)
induced subgraph,induced subgraphs,induced subgraph(s)
characteristic polynomial,characteristic polynomials,characteristic polynomial(s)
new route,new routes,new route(s)
tensor decomposition,tensor decompositions,tensor decomposition(s)
electron correlation,electron correlations,electron correlation(s)
primordial power spectrum,primordial power spectra,primordial power spectrum (spectra)
hopf algebra,hopf algebras,hopf algebra(s)
kagome lattice,kagome lattices,kagome lattice(s)
smart contract,smart contracts,smart contract(s)
feasible solution,feasible solutions,feasible solution(s)
conserved quantity,conserved quantities,conserved quantity(ies)
organic molecule,organic molecules,organic molecule(s)
magnetization measurement,magnetization measurements,magnetization measurement(s)
null geodesic,null geodesics,null geodesic(s)
implicit bias,implicit biases,implicit bias(es)
mobile app,mobile apps,mobile app(s)
tangent bundle,tangent bundles,tangent bundle(s)
maximum likelihood estimator,maximum likelihood estimators,maximum likelihood estimator(s)
difference scheme,difference schemes,difference scheme(s)
outstanding performance,outstanding performances,outstanding performance(s)
affirmative answer,affirmative answers,affirmative answer(s)
tight binding model,tight binding models,tight binding model(s)
lagrange multiplier,lagrange multipliers,lagrange multiplier(s)
optimization procedure,optimization procedures,optimization procedure(s)
large portion,large portions,large portion(s)
conditional generative model,conditional generative models,conditional generative model(s)
powerful probe,powerful probes,powerful probe(s)
online social network,online social networks,online social network(s)
temporal correlation,temporal correlations,temporal correlation(s)
photonic crystal,photonic crystals,photonic crystal(s)
probabilistic interpretation,probabilistic interpretations,probabilistic interpretation(s)
linear polarization,linear polarizations,linear polarization(s)
mini batch,mini batches,mini batch(es)
memory access,memory accesses,memory access(es)
stock market,stock markets,stock market(s)
effective lagrangian,effective lagrangians,effective lagrangian(s)
background noise,background noises,background noise(s)
absolute value,absolute values,absolute value(s)
projective space,projective spaces,projective space(s)
log likelihood,log likelihoods,log likelihood(s)
accurate determination,accurate determinations,accurate determination(s)
branching process,branching processes,branching process(es)
protein interaction,protein interactions,protein interaction(s)
precise description,precise descriptions,precise description(s)
consensus protocol,consensus protocols,consensus protocol(s)
actor critic algorithm,actor critic algorithms,actor critic algorithm(s)
video game,video games,video game(s)
maximum mass,maximum masses,maximum mass(es)
protein structure,protein structures,protein structure(s)
convolutional neural network architecture,convolutional neural network architectures,convolutional neural network architecture(s)
graph laplacian,graph laplacians,graph laplacian(s)
automatically extract,automatically extracts,automatically extract(s)
variational principle,variational principles,variational principle(s)
correct answer,correct answers,correct answer(s)
index theorem,index theorems,index theorem(s)
superconducting gap,superconducting gaps,superconducting gap(s)
optical depth,optical depths,optical depth(s)
spin liquid,spin liquids,spin liquid(s)
regularization scheme,regularization schemes,regularization scheme(s)
easy axis,easy axes,easy axis (axes)
integral representation,integral representations,integral representation(s)
electric dipole,electric dipoles,electric dipole(s)
practical deployment,practical deployments,practical deployment(s)
multiple scattering,multiple scatterings,multiple scattering(s)
precision matrix,precision matrices,precision matrix (matrices)
gate fidelity,gate fidelities,gate fidelity(ies)
audio signal,audio signals,audio signal(s)
speech signal,speech signals,speech signal(s)
direct consequence,direct consequences,direct consequence(s)
normal metal,normal metals,normal metal(s)
dialogue system,dialogue systems,dialogue system(s)
regular black hole,regular black holes,regular black hole(s)
feynman diagram,feynman diagrams,feynman diagram(s)
galactic nucleus,galactic nuclei,galactic nucleus (nuclei)
entanglement spectrum,entanglement spectra,entanglement spectrum (spectra)
pairing symmetry,pairing symmetries,pairing symmetry(ies)
beta decay,beta decays,beta decay(s)
main reason,main reasons,main reason(s)
low computational cost,low computational costs,low computational cost(s)
renewable generation,renewable generations,renewable generation(s)
amplitude modulation,amplitude modulations,amplitude modulation(s)
oscillation frequency,oscillation frequencies,oscillation frequency(ies)
ordered state,ordered states,ordered state(s)
conjugacy class,conjugacy classes,conjugacy class(es)
causal relation,causal relations,causal relation(s)
solar cell,solar cells,solar cell(s)
brain region,brain regions,brain region(s)
perturbative correction,perturbative corrections,perturbative correction(s)
optimality condition,optimality conditions,optimality condition(s)
stellar object,stellar objects,stellar object(s)
winding number,winding numbers,winding number(s)
radial profile,radial profiles,radial profile(s)
lattice spacing,lattice spacings,lattice spacing(s)
schrodinger equation,schrodinger equations,schrodinger equation(s)
charged lepton,charged leptons,charged lepton(s)
heterogeneous graph,heterogeneous graphs,heterogeneous graph(s)
convolution neural network,convolution neural networks,convolution neural network(s)
ground state space,ground state spaces,ground state space(s)
emission mechanism,emission mechanisms,emission mechanism(s)
target language,target languages,target language(s)
wave vector,wave vectors,wave vector(s)
dominating set,dominating sets,dominating set(s)
salient feature,salient features,salient feature(s)
stokes equation,stokes equations,stokes equation(s)
free energy density,free energy densities,free energy density(ies)
asymptotic regime,asymptotic regimes,asymptotic regime(s)
perpendicular magnetic field,perpendicular magnetic fields,perpendicular magnetic field(s)
lower bound state,lower bound states,lower bound state(s)
central extension,central extensions,central extension(s)
spectral index,spectral indices,spectral index (indices)
heisenberg group,heisenberg groups,heisenberg group(s)
operating point,operating points,operating point(s)
ordered set,ordered sets,ordered set(s)
coding scheme,coding schemes,coding scheme(s)
strong baseline,strong baselines,strong baseline(s)
sampling rate,sampling rates,sampling rate(s)
symplectic manifold,symplectic manifolds,symplectic manifold(s)
dwarf galaxy,dwarf galaxies,dwarf galaxy(ies)
semileptonic decay,semileptonic decays,semileptonic decay(s)
besov space,besov spaces,besov space(s)
inelastic collision,inelastic collisions,inelastic collision(s)
dust grain,dust grains,dust grain(s)
laminar flow,laminar flows,laminar flow(s)
task execution,task executions,task execution(s)
wind speed,wind speeds,wind speed(s)
noisy environment,noisy environments,noisy environment(s)
supervised setting,supervised settings,supervised setting(s)
excitation spectrum,excitation spectra,excitation spectrum (spectra)
time reversal symmetry,time reversal symmetries,time reversal symmetry(ies)
decomposition theorem,decomposition theorems,decomposition theorem(s)
piecewise constant,piecewise constants,piecewise constant(s)
anomalous magnetic moment,anomalous magnetic moments,anomalous magnetic moment(s)
manufacturing process,manufacturing processes,manufacturing process(es)
encoding scheme,encoding schemes,encoding scheme(s)
regularization technique,regularization techniques,regularization technique(s)
transportation system,transportation systems,transportation system(s)
current trend,current trends,current trend(s)
stellar population,stellar populations,stellar population(s)
likelihood estimator,likelihood estimators,likelihood estimator(s)
vanishing theorem,vanishing theorems,vanishing theorem(s)
unique probe,unique probes,unique probe(s)
training data collection,training data collections,training data collection(s)
spin glass,spin glasses,spin glass(es)
anomalous magnetic field,anomalous magnetic fields,anomalous magnetic field(s)
exact formula,exact formulae,exact formula (formulae)
lhcb collaboration,lhcb collaborations,lhcb collaboration(s)
experimental validation,experimental validations,experimental validation(s)
jointly train,jointly trains,jointly train(s)
unitary evolution,unitary evolutions,unitary evolution(s)
time window,time windows,time window(s)
acquisition function,acquisition functions,acquisition function(s)
wave background,wave backgrounds,wave background(s)
optical communication,optical communications,optical communication(s)
mimo system,mimo systems,mimo system(s)
scaling law,scaling laws,scaling law(s)
topological defect,topological defects,topological defect(s)
uniform hypergraph,uniform hypergraphs,uniform hypergraph(s)
fock state,fock states,fock state(s)
projective measurement,projective measurements,projective measurement(s)
sentence pair,sentence pairs,sentence pair(s)
forming region,forming regions,forming region(s)
van der waals heterostructure,van der waals heterostructures,van der waals heterostructure(s)
heavy element,heavy elements,heavy element(s)
petri net,petri nets,petri net(s)
safety property,safety properties,safety property(ies)
posterior density,posterior densities,posterior density(ies)
curved surface,curved surfaces,curved surface(s)
orbital plane,orbital planes,orbital plane(s)
helmholtz equation,helmholtz equations,helmholtz equation(s)
mach number,mach numbers,mach number(s)
weight distribution,weight distributions,weight distribution(s)
phase difference,phase differences,phase difference(s)
receptive field,receptive fields,receptive field(s)
local minimum,local minimums,local minimum(s)
urban environment,urban environments,urban environment(s)
kullback leibler divergence,kullback leibler divergences,kullback leibler divergence(s)
large batch,large batches,large batch(es)
near field theory,near field theories,near field theory(ies)
large number density,large number densities,large number density(ies)
large hadron collider,large hadron colliders,large hadron collider(s)
symplectic structure,symplectic structures,symplectic structure(s)
initial mass,initial masses,initial mass(es)
unbiased estimator,unbiased estimators,unbiased estimator(s)
rotating black hole,rotating black holes,rotating black hole(s)
partial derivative,partial derivatives,partial derivative(s)
isomorphism class,isomorphism classes,isomorphism class(es)
dual variable,dual variables,dual variable(s)
parton distribution,parton distributions,parton distribution(s)
elemental abundance,elemental abundances,elemental abundance(s)
start up,start ups,start up(s)
potential outcome,potential outcomes,potential outcome(s)
convergence guarantee,convergence guarantees,convergence guarantee(s)
noisy channel,noisy channels,noisy channel(s)
electrostatic potential,electrostatic potentials,electrostatic potential(s)
domain shift,domain shifts,domain shift(s)
geometric phase,geometric phases,geometric phase(s)
vertex operator,vertex operators,vertex operator(s)
deep neural network dnn model,deep neural network dnn models,deep neural network dnn model(s)
coupled channel,coupled channels,coupled channel(s)
pressure gradient,pressure gradients,pressure gradient(s)
triple system,triple systems,triple system(s)
weyl group,weyl groups,weyl group(s)
heat kernel,heat kernels,heat kernel(s)
grain size,grain sizes,grain size(s)
atomic force,atomic forces,atomic force(s)
effective radius,effective radii,effective radius (radii)
antenna array,antenna arrays,antenna array(s)
cloud provider,cloud providers,cloud provider(s)
age group,age groups,age group(s)
chandra observation,chandra observations,chandra observation(s)
energy barrier,energy barriers,energy barrier(s)
group velocity,group velocities,group velocity(ies)
analytical formula,analytical formulae,analytical formula (formulae)
heavy fermion,heavy fermions,heavy fermion(s)
unusual behavior,unusual behaviors,unusual behavior(s)
singlet scalar,singlet scalars,singlet scalar(s)
telescope array,telescope arrays,telescope array(s)
wavelength range,wavelength ranges,wavelength range(s)
non stationarity,non stationarities,non stationarity(ies)
cartesian product,cartesian products,cartesian product(s)
fermi liquid,fermi liquids,fermi liquid(s)
solid solution,solid solutions,solid solution(s)
breast cancer,breast cancers,breast cancer(s)
large margin,large margins,large margin(s)
red giant,red giants,red giant(s)
small sample size,small sample sizes,small sample size(s)
lyapunov exponent,lyapunov exponents,lyapunov exponent(s)
sparse reward,sparse rewards,sparse reward(s)
exotic phenomenon,exotic phenomena,exotic phenomenon (phenomena)
mhd simulation,mhd simulations,mhd simulation(s)
vector meson,vector mesons,vector meson(s)
indicator function,indicator functions,indicator function(s)
vector machine,vector machines,vector machine(s)
integration scheme,integration schemes,integration scheme(s)
reachability problem,reachability problems,reachability problem(s)
decoding algorithm,decoding algorithms,decoding algorithm(s)
expected utility,expected utilities,expected utility(ies)
viscous fluid,viscous fluids,viscous fluid(s)
access point,access points,access point(s)
means clustering algorithm,means clustering algorithms,means clustering algorithm(s)
edge coloring,edge colorings,edge coloring(s)
relativistic jet,relativistic jets,relativistic jet(s)
coefficient matrix,coefficient matrices,coefficient matrix (matrices)
gaussian process regression model,gaussian process regression models,gaussian process regression model(s)
term memory,term memories,term memory(ies)
kpc scale,kpc scales,kpc scale(s)
straight line,straight lines,straight line(s)
fokker planck equation,fokker planck equations,fokker planck equation(s)
abundance ratio,abundance ratios,abundance ratio(s)
conditional independence,conditional independences,conditional independence(s)
explicit computation,explicit computations,explicit computation(s)
accurately represent,accurately represents,accurately represent(s)
sum rule,sum rules,sum rule(s)
strongly affect,strongly affects,strongly affect(s)
integrated circuit,integrated circuits,integrated circuit(s)
appearance variation,appearance variations,appearance variation(s)
spurious correlation,spurious correlations,spurious correlation(s)
nodal line,nodal lines,nodal line(s)
global convergence rate,global convergence rates,global convergence rate(s)
initial position,initial positions,initial position(s)
robot arm,robot arms,robot arm(s)
selection procedure,selection procedures,selection procedure(s)
viable solution,viable solutions,viable solution(s)
null hypothesis,null hypotheses,null hypothesis (hypotheses)
qualitative behavior,qualitative behaviors,qualitative behavior(s)
renewable energy,renewable energies,renewable energy(ies)
simple heuristic,simple heuristics,simple heuristic(s)
flat spacetime,flat spacetimes,flat spacetime(s)
processing pipeline,processing pipelines,processing pipeline(s)
temporal evolution,temporal evolutions,temporal evolution(s)
binary fraction,binary fractions,binary fraction(s)
temporal logic,temporal logics,temporal logic(s)
stable matching,stable matchings,stable matching(s)
open source code,open source codes,open source code(s)
film thickness,film thicknesses,film thickness(es)
rotation measure,rotation measures,rotation measure(s)
generated content,generated contents,generated content(s)
orthogonal polynomial,orthogonal polynomials,orthogonal polynomial(s)
rydberg atom,rydberg atoms,rydberg atom(s)
approximation guarantee,approximation guarantees,approximation guarantee(s)
elementary particle,elementary particles,elementary particle(s)
neumann boundary condition,neumann boundary conditions,neumann boundary condition(s)
free boundary condition,free boundary conditions,free boundary condition(s)
unmanned aerial vehicle,unmanned aerial vehicles,unmanned aerial vehicle(s)
galois group,galois groups,galois group(s)
channel condition,channel conditions,channel condition(s)
squeezed state,squeezed states,squeezed state(s)
unstructured environment,unstructured environments,unstructured environment(s)
lighting condition,lighting conditions,lighting condition(s)
cp asymmetry,cp asymmetries,cp asymmetry(ies)
heavy computation,heavy computations,heavy computation(s)
mutual interaction,mutual interactions,mutual interaction(s)
uplink transmission,uplink transmissions,uplink transmission(s)
conditional expectation,conditional expectations,conditional expectation(s)
splitting scheme,splitting schemes,splitting scheme(s)
fractional derivative,fractional derivatives,fractional derivative(s)
validation set,validation sets,validation set(s)
giant planet,giant planets,giant planet(s)
self adjoint operator,self adjoint operators,self adjoint operator(s)
analytic formula,analytic formulae,analytic formula (formulae)
power allocation,power allocations,power allocation(s)
triangulated category,triangulated categories,triangulated category(ies)
limit cycle,limit cycles,limit cycle(s)
uncertainty relation,uncertainty relations,uncertainty relation(s)
recurrence relation,recurrence relations,recurrence relation(s)
binary tree,binary trees,binary tree(s)
von neumann algebra,von neumann algebras,von neumann algebra(s)
molecular dynamics md simulation,molecular dynamics md simulations,molecular dynamics md simulation(s)
gamma ray burst,gamma ray bursts,gamma ray burst(s)
commerce platform,commerce platforms,commerce platform(s)
outer disk,outer disks,outer disk(s)
topological index,topological indices,topological index (indices)
sampling procedure,sampling procedures,sampling procedure(s)
homogeneous polynomial,homogeneous polynomials,homogeneous polynomial(s)
feedback controller,feedback controllers,feedback controller(s)
structural characterization,structural characterizations,structural characterization(s)
ads spacetime,ads spacetimes,ads spacetime(s)
contact angle,contact angles,contact angle(s)
representation learning paradigm,representation learning paradigms,representation learning paradigm(s)
number generator,number generators,number generator(s)
uncertainty principle,uncertainty principles,uncertainty principle(s)
line width,line widths,line width(s)
gaussian mixture model,gaussian mixture models,gaussian mixture model(s)
odd prime,odd primes,odd prime(s)
co occurrence,co occurrences,co occurrence(s)
relaxation rate,relaxation rates,relaxation rate(s)
feedback loop,feedback loops,feedback loop(s)
normal subgroup,normal subgroups,normal subgroup(s)
nearest neighbour,nearest neighbours,nearest neighbour(s)
linear program,linear programs,linear program(s)
experimental data set,experimental data sets,experimental data set(s)
dirac operator,dirac operators,dirac operator(s)
intriguing phenomenon,intriguing phenomena,intriguing phenomenon (phenomena)
mitigation technique,mitigation techniques,mitigation technique(s)
radio quasar,radio quasars,radio quasar(s)
weather condition,weather conditions,weather condition(s)
mobility pattern,mobility patterns,mobility pattern(s)
elastic medium,elastic media,elastic medium (media)
dimer model,dimer models,dimer model(s)
periodic array,periodic arrays,periodic array(s)
initial configuration,initial configurations,initial configuration(s)
hexagonal lattice,hexagonal lattices,hexagonal lattice(s)
active galactic nuclei agn,active galactic nuclei agns,active galactic nuclei agn(s)
trust region,trust regions,trust region(s)
compact riemannian manifold,compact riemannian manifolds,compact riemannian manifold(s)
quantum communication,quantum communications,quantum communication(s)
hard sphere,hard spheres,hard sphere(s)
sliding window,sliding windows,sliding window(s)
closed formula,closed formulae,closed formula (formulae)
focal plane,focal planes,focal plane(s)
hot plasma,hot plasmas,hot plasma(s)
rigid body,rigid bodies,rigid body(ies)
photon pair,photon pairs,photon pair(s)
hydrogen atom,hydrogen atoms,hydrogen atom(s)
convolution layer,convolution layers,convolution layer(s)
weight vector,weight vectors,weight vector(s)
two dimensional ising model,two dimensional ising models,two dimensional ising model(s)
model misspecification,model misspecifications,model misspecification(s)
yukawa coupling,yukawa couplings,yukawa coupling(s)
ricci curvature,ricci curvatures,ricci curvature(s)
proton beam,proton beams,proton beam(s)
fractal dimension,fractal dimensions,fractal dimension(s)
curvature tensor,curvature tensors,curvature tensor(s)
alternative hypothesis,alternative hypotheses,alternative hypothesis (hypotheses)
interactive visualization,interactive visualizations,interactive visualization(s)
processing unit,processing units,processing unit(s)
free fermion,free fermions,free fermion(s)
acoustic wave,acoustic waves,acoustic wave(s)
evaluation criterion,evaluation criteria,evaluation criterion (criteria)
wilson coefficient,wilson coefficients,wilson coefficient(s)
star merger,star mergers,star merger(s)
order parameter space,order parameter spaces,order parameter space(s)
halo mass,halo masses,halo mass(es)
wigner function,wigner functions,wigner function(s)
dipole moment,dipole moments,dipole moment(s)
gravitational interaction,gravitational interactions,gravitational interaction(s)
end effector,end effectors,end effector(s)
tremendous success,tremendous successes,tremendous success(es)
photon number,photon numbers,photon number(s)
high frequency range,high frequency ranges,high frequency range(s)
real time delay,real time delays,real time delay(s)
invariant mass,invariant masses,invariant mass(es)
energetic particle,energetic particles,energetic particle(s)
secret key,secret keys,secret key(s)
traffic signal,traffic signals,traffic signal(s)
trivial topology,trivial topologies,trivial topology(ies)
thermal instability,thermal instabilities,thermal instability(ies)
dirac point,dirac points,dirac point(s)
chebyshev polynomial,chebyshev polynomials,chebyshev polynomial(s)
stochastic gravitational wave,stochastic gravitational waves,stochastic gravitational wave(s)
reflection coefficient,reflection coefficients,reflection coefficient(s)
kerr black hole,kerr black holes,kerr black hole(s)
sensitive attribute,sensitive attributes,sensitive attribute(s)
elliptic partial differential equation,elliptic partial differential equations,elliptic partial differential equation(s)
destructive interference,destructive interferences,destructive interference(s)
feedforward neural network,feedforward neural networks,feedforward neural network(s)
numerical investigation,numerical investigations,numerical investigation(s)
labelled dataset,labelled datasets,labelled dataset(s)
non abelian group,non abelian groups,non abelian group(s)
electric dipole moment,electric dipole moments,electric dipole moment(s)
transfer operator,transfer operators,transfer operator(s)
line search,line searches,line search(es)
mass matrix,mass matrices,mass matrix (matrices)
textual content,textual contents,textual content(s)
rooted tree,rooted trees,rooted tree(s)
efficiently handle,efficiently handles,efficiently handle(s)
key enabler,key enablers,key enabler(s)
dependency structure,dependency structures,dependency structure(s)
non gaussianity,non gaussianities,non gaussianity(ies)
during training set,during training sets,during training set(s)
rotational motion,rotational motions,rotational motion(s)
main ingredient,main ingredients,main ingredient(s)
three flavor,three flavors,three flavor(s)
spread function,spread functions,spread function(s)
orthogonal group,orthogonal groups,orthogonal group(s)
k3 surface,k3 surfaces,k3 surface(s)
interacting boson,interacting bosons,interacting boson(s)
spiral arm,spiral arms,spiral arm(s)
individual node,individual nodes,individual node(s)
nodal point,nodal points,nodal point(s)
quantitative version,quantitative versions,quantitative version(s)
file system,file systems,file system(s)
relaxation process,relaxation processes,relaxation process(es)
execution environment,execution environments,execution environment(s)
rotation period,rotation periods,rotation period(s)
variational inequality,variational inequalities,variational inequality(ies)
dimensional subspace,dimensional subspaces,dimensional subspace(s)
smart grid,smart grids,smart grid(s)
coordination number,coordination numbers,coordination number(s)
fabrication process,fabrication processes,fabrication process(es)
iterative scheme,iterative schemes,iterative scheme(s)
laplace transform,laplace transforms,laplace transform(s)
covariance structure,covariance structures,covariance structure(s)
partial wave,partial waves,partial wave(s)
microscopic mechanism,microscopic mechanisms,microscopic mechanism(s)
broader class,broader classes,broader class(es)
traffic demand,traffic demands,traffic demand(s)
action functional,action functionals,action functional(s)
driving force,driving forces,driving force(s)
three fold,three folds,three fold(s)
weak formulation,weak formulations,weak formulation(s)
dirac semimetal,dirac semimetals,dirac semimetal(s)
deep neural network architecture,deep neural network architectures,deep neural network architecture(s)
odd cycle,odd cycles,odd cycle(s)
explicit calculation,explicit calculations,explicit calculation(s)
conserved current,conserved currents,conserved current(s)
contextual bandit,contextual bandits,contextual bandit(s)
contact manifold,contact manifolds,contact manifold(s)
event camera,event cameras,event camera(s)
smart home,smart homes,smart home(s)
temperature gradient,temperature gradients,temperature gradient(s)
canonical basis,canonical bases,canonical basis (bases)
operational cost,operational costs,operational cost(s)
optomechanical system,optomechanical systems,optomechanical system(s)
microwave resonator,microwave resonators,microwave resonator(s)
neural network dnn model,neural network dnn models,neural network dnn model(s)
vanishing gradient,vanishing gradients,vanishing gradient(s)
energy norm,energy norms,energy norm(s)
efficiently extract,efficiently extracts,efficiently extract(s)
similarity metric,similarity metrics,similarity metric(s)
total cross section,total cross sections,total cross section(s)
quickly adapt,quickly adapts,quickly adapt(s)
de sitter space,de sitter spaces,de sitter space(s)
beamforming design,beamforming designs,beamforming design(s)
decay width,decay widths,decay width(s)
high probability distribution,high probability distributions,high probability distribution(s)
single crystal structure,single crystal structures,single crystal structure(s)
search engine,search engines,search engine(s)
supernova remnant,supernova remnants,supernova remnant(s)
emergent phenomenon,emergent phenomena,emergent phenomenon (phenomena)
monoidal category,monoidal categories,monoidal category(ies)
massive particle,massive particles,massive particle(s)
irreducible component,irreducible components,irreducible component(s)
decision rule,decision rules,decision rule(s)
binary mixture,binary mixtures,binary mixture(s)
hand crafted feature,hand crafted features,hand crafted feature(s)
chiral molecule,chiral molecules,chiral molecule(s)
point correlator,point correlators,point correlator(s)
logistic regression model,logistic regression models,logistic regression model(s)
lipschitz constant,lipschitz constants,lipschitz constant(s)
reaction diffusion equation,reaction diffusion equations,reaction diffusion equation(s)
transmission spectrum,transmission spectra,transmission spectrum (spectra)
indoor environment,indoor environments,indoor environment(s)
perfect matching,perfect matchings,perfect matching(s)
riemannian metric,riemannian metrics,riemannian metric(s)
star formation rate,star formation rates,star formation rate(s)
beam splitter,beam splitters,beam splitter(s)
solvable model,solvable models,solvable model(s)
nonlinear mapping,nonlinear mappings,nonlinear mapping(s)
current algebra,current algebras,current algebra(s)
traveling wave,traveling waves,traveling wave(s)
fock space,fock spaces,fock space(s)
characteristic length,characteristic lengths,characteristic length(s)
quadrupole moment,quadrupole moments,quadrupole moment(s)
relative strength,relative strengths,relative strength(s)
real time step,real time steps,real time step(s)
spin wave function,spin wave functions,spin wave function(s)
formation channel,formation channels,formation channel(s)
temperature variation,temperature variations,temperature variation(s)
